,Standard_Cell,lef,va,scad
0,membrane_cap_20px,0,1,0
1,valve_20px4way_0,0,0,1
2,valve_20px_1,1,1,1
3,serpentine_100px_0,1,1,1
4,serpentine_150px_0,1,1,1
5,serpentine_200_100px_0,1,0,1
6,serpentine_200px_0,1,1,1
7,serpentine_200px_3,1,0,1
8,serpentine_25px_0,0,1,1
9,serpentine_300px_0,1,1,1
10,serpentine_300px_1,1,1,1
11,serpentine_300px_2,1,1,1
12,serpentine_300px_3,1,1,1
13,serpentine_300px_4,1,1,1
14,serpentine_50px_0,1,1,1
15,serpentine_75px_0,1,1,1
16,diffmix_25px_0,1,1,1
17,junction_25px_0,0,0,1
